일자,시간,장소,대상,계,내역,집행방법,
2020. 7. 17.(금),21:52,3번출구(인천 남동구),비상근무자 등 10명,50000,코로나19 대응에 따른 비상근무 직원 격려를 위한 간식 구입,카드,
2020. 7. 17.(금),,,경조사( 000 외 4명),250000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 7. 17.(금),12:49,이태리소년(인천 남동구),노선개편 담당 등 5명,78900,시내버스 노선개편 추진 관련 현안 청취를 위한 관계 직원과 오찬 간담,카드,
2020. 7. 19.(일),12:09,백암왕순대(인천 남동구),소통기획담당관 등 5명,45000,수돗물 유충 발생관련 기자 설명회 준비 관계 직원과 간담,카드,
2020. 7. 19.(일),12:08,장금수부대찌개(인천 남동구),상황근무자 등 6명,65000,코로나19 대응에 따른 주말 상황 근무자 격려위한 오찬,카드,
2020. 7. 20.(월),,,경조사(000 외 2),150000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 7. 22.(수),12:35,이가네찹쌀순대(인천 남동구),능력개발담당 등 6명,54000,공직자 아카데미 운영방식 개선방안 협의를 위한 관계직원과 간담,카드,
2020. 7. 23.(목),12:02,피자알볼로(인천 연수구),희망일자리 추진단 11명,89000,2020년 희망일자리사업 추진단 격려를 위한 간담,카드,
2020. 7. 26.(일),11:54,백령도우성냉면(인천 남동구),상황근무자 등 4명,43500,코로나19 대응에 따른 주말 상황 근무자 격려위한 오찬,카드,
2020. 7. 28.(화),11:30,본도시락(인천 남동구),민원담당자 등 11명,144500,민원담당자와 소통 및 의견청취를 위한 오찬 간담,카드,
2020. 7. 28.(화),,,경조사(000 외 3),200000,시 소속 상근직원에 대한 경조사 비용 지출,현금,
2020. 7. 30.(목),20:14,부라더목장(인천 남동구),철도과장 등 10명,280000,서울7호선 청라연장 등 도시철도 관련 현안 협의를 위한 관계 직원과 간담,카드,
2020. 7. 30.(목),11:36,북경(인천 남동구),수질안전담당 등 6명,57000,수돗물 유충 발생에 따른 상수도 관계자와 간담,카드,
2020. 7. 31.(금),12:52,폰츠키친(인천 연수구),육아지원과 직원,211200,2020년도 2분기 협업포인트 우수부서 간식비 지출,카드,
,,,,,,,
2020. 7. 1.(수),12:00,장미홀(인천 남동구),의장단 및 상임위원장 등 14명,210000,시의회 의장단과의 소통 간담회,카드,
2020. 7. 2.(목),11:44,북경(인천 남동구),일반화정책담당 등 7명,88500,인천대로 일반화 추진사항 관련 논의에 따른 관계자와 간담,카드,
2020. 7. 3.(금),20:48,부라더목장(인천 남동구),공사공단 관계자 등 8명,226000,시정현안 해소 및 상호협력 방안 논의를 위한 공사공단 관계자와 간담,카드,
2020. 7. 3.(금),12:38,경복궁(서울 양천구),행안부 관계자 등 4명,94000,주요 정책사업 및 제도 개선 논의 등을 위한 중앙부처 관계 직원과 간담,카드,
2020. 7. 6.(월),11:37,스시웨이(인천 연수구),아트센터 시설담당 등 8명,125000,인천아트센터 3단계사업 진행 현황 등 현안사항 점검을 위한 간담,카드,
2020. 7. 6.(월),11:43,금화왕돈까스(인천 남동구),루원청사건립담당 등 6명,47400,루원복합청사 건립 추진 관련 현안협의를 위한 관계자와 오찬 간담,카드,
2020. 7. 7.(화),20:08,삿뽀로(인천 남동구),교통분야 관계자 등 8명,231000,시내버스 노선 개편 및 광역철도망 확충 등 교통분야 관계자와 간담,카드,
2020. 7. 8.(수),12:10,송추가마골(인천 연수구),해양항만과 직원 20명,400000,신국제여객터미널 개장 관련 직원 격려 간담,카드,
2020. 7. 10.(금),12:49,진복호(인천 강화군),지역협력특보 등 8명,174000,강화군 주요현장 방문에 따른 관계자와 오찬 간담,카드,
2020. 7. 13.(월),21:20,수라(인천 남동구),지역국회의원 보좌진 등 10명,291000,지역 현안사항 협의를 위한 관계 기관 등과 간담,카드,
2020. 7. 13.(월),19:21,송도갈매기(인천 남구),문화정책위원 등 7명,139000,포스트 코로나 관련 문화정책자문회의 개최에 따른 관계자와 간담,카드,
2020. 7. 13.(월),11:40,스시웨이(인천 연수구),신성장산업 관계자 등 8명,150000,한국기초과학지원 연구원 유치를 위한 업무협약 논의 등 관계자와 간담,카드,
2020. 7. 15.(수),12:26,자린고비(서울 영등포구),국회 관계자 등 3명,42000,2021년도 예산관련 국회 예산정책협의회 개최에 따른 관계자와 오찬 간담,카드,
2020. 7. 16.(목),14:25,장미홀(인천시청),의장단 등 25명,375000,시의회 의장단과의 소통간담회,카드,
2020. 7. 17.(금),20:40,신선화로(인천 남동구),청사방호 관계자 등 7명,193800,지하도상가 관련 야외 집회에 따른 청사방호를 위한 관계자와 간담,카드,
2020. 7. 22.(수),21:21,무한버섯나라(인천 미추홀구),공사공단 관계자 등 12명,280000,시정현안 해소 및 협력방안 논의를 위한 공사공단 및 출자출연기관 관계자와 간담,카드,
2020. 7. 22.(수),20:48,장수고기나라(인천 남동구),방역 관계자 등 6명,140000,코로나19 대응에 따른 청사 방역 관계자와 간담,카드,
2020. 7. 23.(수),21:24,망향숯불돼지갈비(인천 남동구),생활치료센터 운영 관계자 등 5명,144000,코로나19 대응과 관련 생활치료센터 운영현황 등 점검을 위한 관계자와 간담,카드,
2020. 7. 24.(금),12:46,황해도손칼국수(인천 남동구),주택정책  관계자 등 6명,42000,수도권 주택공급 확대 추진 관련 우리시 추진과제 논의를 위한 관계자와 오찬 간담,카드,
2020. 7. 28.(화),12:56,대도가(인천 남동구),행복한인생 담당 등 5명,95000,어르신 사회활동 지원 및 노인일자리 사업 확대 방안 논의를 위한 관계자와 간담,카드,
2020. 7. 28.(화),21:56,원할머니(인천 남동구),안전시설물 관리 관계자 등 8명,209500,여름철 우기 대비 주요안전시설물에 대한 안전점검 등을 위한 관계자와 간담,카드,
2020. 7. 30.(금),12:39,정가붕어찜(인천 남동구),기술창업 담당 등 3명,24000,창업마을 드림촌 건립사업 정상화 방안 협의를 위한 관계자와 간담,카드,
2020. 7. 30.(목),21:16,연타발(서울 영등포구),지역국회의원 보좌진 등 10명,270000,주요 투자사업 예산 확보 및 현안사항 논의를 위한 지역 국회의원 보좌진과 간담,카드,
2020. 7. 30.(목),21:38,수라(인천 남동구),코로나 방역 관계자 등 5명,112000,코로나19 대응에 따른 추가 확산 방지대책 등에 대한 논의를 위한 관계자와 간담,카드,
2020. 7. 31.(금),13:10,변가네옹진냉면(인천 미추홀구),추모제 관계자 등 5명,39500,죽산 조봉암선생 서거 61주년 추모제 관련 관계자와 간담,카드,
,,,,,,,
2020-06-01,,,6,경조사(000 외 5명),300000,시 소속 상근직원(000 외 5명)에 대한 경조사 비용,현금
2020-06-01,11:46,본도시락,8,위생안전담당 등,106000,코로나19 관련 유흥주점 집합금지명령 행정지도 등에 따른 관계직원 격려위한 간담,카드
2020-06-02,12:39,형제복집,5,예산총괄담당 등,85000,2020년도 제2회 추가경정예산 편성 방향 협의를 위한 관계직원과 간담,카드
2020-06-05,11:40,청실홍실,8,예산편성 담당 등,90000,2020년도 제2회 추가경정예산 편성과 관련 일정 논의 및 관계직원 격려,카드
2020-06-06,12:30,백령도중화동우성냉면,13,상황근무자 등,151000,코로나19 대응에 따른 휴일 상황근무자 격려 오찬 간담,카드
2020-06-07,13:37,서해뻘산낙지,13,문화예술과장 등,286000,코로나19 장기화에 따른 종교시설 현장점검 등 현안대응 관계직원 격려,카드
2020-06-08,,,4,경조사(000 외 3명),200000,시 소속 상근직원(000 외 3명)에 대한 경조사 비용,현금
2020-06-08,15:57,원협218,50,상황근무자 등,205000,코로나19 대응에 따른 재난안전상황실 근무자 격려위한 간식 구입,카드
2020-06-09,11:42,명동보리밥,10,의회협력담당 등,159000,제263회 본회의 시정질문에 따른 자료준비 등으로 노고가 많은 관계부서 격려,카드
2020-06-11,11:56,유진초밥,9,출입인증시스템 관계자 등,126000,코로나19 대비 시청사 출입인증시스템 활용시설 점검 및 운영방안 논의를 위한 관계자와 간담,카드
2020-06-11,13:39,도미노피자 외 1,300,코로나 관계 의료진 등,2134000,코로나19 확진자 간호 등에 따른 인천의료원 관계자 격려위한 간식 구입,카드
2020-06-12,11:35,청실홍실,7,채용담당 등,102000,2020년 제1회 지방공무원 필기시험 개최와 관련 사전 준비작업 참여직원 격려,카드
2020-06-12,12:22,신선화로,6,재생콘텐츠과장 등,105600,상상플랫폼 조성사업 추진 현안청취를 위한 관계 직원과 간담,카드
2020-06-14,12:10,사곶냉면,8,상황근무자 등,93000,코로나19 대응 재난안전상황실 운영에 따른 휴일 상황근무자 격려를 위한 오찬 비용,카드
2020-06-15,,,5,경조사(000 외 4명),250000,시 소속 상근직원(000 외 4명)에 대한 경조사 비용,현금
2020-06-15,13:35,우성꽃농원,,상근직원 등,680000,2020년 5월중 상근직원 등 조사 시 관내지역에 설치한 근조기 설치 비용,카드
2020-06-16,12:21,전라도밥상,5,문화재과장 등,90000,시장관사 리모델링 사업 추진과 관련 관계직원과 업무협의,카드
2020-06-16,12:36,숭의가든,4,디지털소통담당 등,39000,코로나19 예방 및 방지를 위한 카드뉴스 등 시민알림 콘텐츠 제작 부서 격려,카드
2020-06-18,12:52,대도가,6,도시계획담당 등,85000,시 항만관리 정책방향 협의를 위한 관련부서 관계자와 간담,카드
2020-06-18,10:31,그린위치,30,열화상카메라 확인 근무자 등,150000,코로나19 대응관련 열화상카메라 확인 근무자 격려를 위한 간식 구입,카드
2020-06-22,,,2,경조사(000 외 1명),100000,시 소속 상근직원(000 외 1명)에 대한 경조사 비용,현금
2020-06-22,11:38,스시웨이,7,운전직 직원 등,125000,경제자유구역청 현업부서 운전직 직원 격려를 위한 간담,카드
2020-06-23,13:04,황해도손칼국수,4,기획담당 등,41000,코로나19 수도권 추가확산 관련 국무회의 자료준비 관계직원 격려,카드
2020-06-23,12:07,대도가,13,문화예술과장 등,227000,소규모 개척교회의 코로나19 소규모 집단 확산에 따른 방지대책 추진 관계자 격려,카드
2020-06-24,,삼산면사무소,,삼산면사무소 직원,300000,접경지역 치안유지 및 민원행정 수행 노고 직원에 대한 격려금 지급,현금
2020-06-24,11:52,명동보리밥,8,자연재난담당 등,85000,장마철 위험시설 현황 점검 등 각종 자연재난 대비에 따른 관계부서 격려,카드
2020-06-26,,이포르테,130,5월 직원 생일자,2184000,5월분 직원 생일기념 케익상품권 공급 기성금 지출,카드
2020-06-26,16:39,이마트,50,상황근무자 등,494160,코로나19 대응에 따른 재난안전상황실 근무자 격려위한 간식 구입,카드
2020-06-26,11:59,해월토장집,8,보도담당 등,86000,민선7기 2주년 언론사 활동 인터뷰 자료준비 등 각종 기자회견 준비에 따른 관계직원 격려,카드
2020-06-29,10:50,대성토탈시스템,,,850000,우리시 투자사업의 원활한 추진을 위한 타기관 방문 및 업무협의 내방객을 위한 기념품 구입,카드
2020-06-29,,,3,경조사(000 외 2명),150000,시 소속 상근직원(000 외 2명)에 대한 경조사 비용,현금
2020-06-29,21:27,젊은농부해피타운,7,자치행정담당 등,158000,코로나19 관련 군.구 현장방문에 따른 관계 직원 격려를 위한 간담,카드
2020-06-29,20:43,소래포구 해남수산,10,시민정책담당관 등,240000,시민시장 대토론회 개최 준비 및 토론회 자료 작성 관계직원 격려를 위한 간담,카드
2020-06-30,11:47,본도시락,9,수도권매립지 개선담당 등,110100,수도권매립지 현안사항 논의를 위한 관계자와 간담,카드
,,,,,,,
